degree,MSE,NMSE,RMSE,NRMSE,MAE,NMAE,MDE,NMDE,MAX,NMAX,R2,True Mean,True Std,Predicted Mean,Predicted Std
1,45.16670870398545,5.582567668752263,6.720618178708373,0.8306628230180412,5.163821566705933,0.6382440552493592,4.115294751548689,0.5086470120714021,27.7681616741189,0.1756366962309861,0.3099992744556985,136.957421875,8.090669273352574,137.42767745471718,3.8297562110533847
2,43.727674482581705,5.404704234617914,6.612690411820419,0.8173230407031931,5.194813370231112,0.6420746164153253,4.199128777362063,0.5190088280078772,25.71100831675595,0.16262497354051836,0.3319830471356867,136.957421875,8.090669273352574,137.40155749067276,3.9927081491211776
3,43.28700484524772,5.350237833576734,6.57928604373208,0.8131942885617157,5.156368050200628,0.6373228068021073,4.14907291074077,0.5128219644827351,25.510185323881544,0.1613547458816037,0.3387150490506051,136.957421875,8.090669273352574,137.33418091477262,4.0590589784224775
4,43.12768107862896,5.330545548397866,6.567166898947289,0.8116963723355876,5.142565904997314,0.6356168731225817,4.158065389279685,0.5139334273586843,25.443001151194196,0.16092979855277798,0.34114899913724717,136.957421875,8.090669273352574,137.3223189360009,4.073852444644176
5,43.64666589634365,5.394691640665413,6.606562335764618,0.8165656155942488,5.169400502769061,0.6389336071114656,4.412755253088534,0.5454128829146908,26.849259087609838,0.16982453565850625,0.3332205954291856,136.957421875,8.090669273352574,137.38605289782944,4.25208992248486
6,43.6464037494827,5.394659239531207,6.606542495850814,0.8165631633973867,5.170073514804487,0.6390167908398678,4.397796488687803,0.5435639920633493,26.8374779947451,0.16975001894209424,0.3332246001824528,136.957421875,8.090669273352574,137.38748292538725,4.2503125761093035
7,43.37178266113237,5.3607163011818635,6.585725674603549,0.8139902215870192,5.1235244361942,0.6332633633992478,4.173668685807229,0.5158619818453861,26.903108313854247,0.17016513797504268,0.33741991916071556,136.957421875,8.090669273352574,137.32299087085377,4.50562058088458
8,43.32588935001776,5.355043926058861,6.582240450638199,0.8135594508006234,5.118300884244629,0.6326177367183038,4.123950885469526,0.5097169030320111,26.88149919994366,0.17002845793765758,0.33812102001298816,136.957421875,8.090669273352574,137.2632018945485,4.5201645214311235
9,43.38664604758728,5.362553403398347,6.586854032661364,0.8141296857054613,5.122783690101921,0.633171807797696,4.176185874465872,0.5161731042721714,26.941034513778973,0.1704050253875963,0.3371928548531269,136.957421875,8.090669273352574,137.32301154283778,4.511137572025
10,43.37162479271501,5.360696788776644,6.58571368894177,0.8139887401691815,5.120294438698794,0.6328641383924806,4.172566179995471,0.5157257130430771,26.928465947524856,0.17032552781483148,0.3374223308777887,136.957421875,8.090669273352574,137.29969009958825,4.513623288279247
